democracy,judind,judattacks,corruption,attacksCat,ruleoflaw
0,.24830809,.45138776,.89156628,3,2
0,0,.32721961,.91566265,2,1
1,.71865934,.43207273,.86746991,3,2
1,.82500803,.30855381,.6987952,2,
0,.41121495,.40512905,.62650603,2,2
1,.79503703,.58399612,.60240966,3,
1,.67096359,.54861224,.45783132,3,
0,.61182725,.35075474,.81927711,2,
0,.54302287,.59308553,.83132529,3,2
1,.48291975,.63447493,.86746991,4,
1,.83161455,.28355786,.3253012,1,
1,.88317758,.10225613,.22891566,1,
0,.074444085,.31699398,.92771083,2,1
0,.085884631,.66304171,.90361446,4,2
0,.39993554,.55510467,.80722892,3,2
1,.76538831,.20645998,.74698794,1,
,.62745732,.54504138,,3,3
0,.33306476,.37932155,.87951809,2,1
1,.76941669,.61061513,.56626505,4,
1,.59813082,.4000974,.77108431,2,
0,.60135353,.59438401,.86746991,3,1
,.44311956,.31261158,,2,3
