sentence,race,educatn,employm,SES,married,num.chld,military,pr.arrst,pr.incrc,defense,vict.sex,vict.rac,vict.age,vict.rel,vict.st1,specialA,methodA,num.kill,num.prps,def.age,aggrevat,bloody,fam.lov,insane,mitcir,num.depr,rape
0,0,1,1,1,0,NA,NA,4,1,1,0,1,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0
0,1,3,1,1,1,NA,NA,2,1,1,1,1,0,0,0,1,2,1,0,4,0,1,1,0,1,1,0
0,0,1,1,1,0,2,NA,2,2,1,1,1,0,1,NA,1,1,1,0,5,0,1,1,0,1,1,0
0,1,1,0,1,1,3,1,14,1,1,1,2,0,0,NA,1,3,1,0,6,1,1,0,0,1,0,0
0,0,3,1,1,0,1,1,1,2,0,1,1,0,1,NA,1,1,1,0,4,0,0,1,0,1,0,0
1,1,3,NA,NA,NA,NA,NA,2,2,1,0,1,1,0,0,1,1,NA,2,2,0,0,0,0,0,2,0
0,1,2,0,1,0,NA,NA,2,2,1,0,2,0,0,0,1,1,1,2,2,0,0,0,0,1,3,0
0,0,1,1,1,1,2,NA,5,1,0,0,1,1,0,0,1,1,1,3,2,0,0,0,0,1,1,0
1,0,3,0,1,1,NA,NA,8,2,0,0,1,0,0,0,0,1,2,0,4,1,0,0,0,1,1,0
0,0,3,1,1,1,1,NA,12,1,1,0,1,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0
0,0,3,0,1,0,NA,NA,3,1,1,0,1,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0
0,0,3,1,0,1,2,NA,2,2,0,0,1,0,0,0,0,1,NA,3,5,0,0,0,0,1,0,0
0,1,1,0,0,0,NA,NA,2,1,1,0,1,0,0,NA,1,1,NA,3,3,0,0,0,0,1,0,0
0,0,2,1,1,0,1,NA,1,1,1,0,1,0,0,0,1,1,1,0,3,0,0,0,0,1,1,0
0,1,3,0,1,1,NA,NA,1,2,0,0,1,0,0,0,0,1,1,3,4,0,1,0,0,0,0,0
0,0,3,0,1,0,NA,1,1,2,NA,0,1,1,0,0,1,4,1,0,3,0,0,0,0,1,2,0
1,0,3,NA,NA,NA,NA,NA,0,2,1,0,2,0,0,0,1,3,1,1,2,1,1,0,0,1,2,0
1,0,2,NA,NA,NA,NA,NA,0,2,1,0,1,0,0,0,0,14,1,1,2,1,0,0,0,0,3,0
1,0,2,NA,NA,NA,NA,NA,0,2,1,0,1,0,0,0,0,14,1,1,2,1,0,0,0,0,3,0
1,0,1,NA,NA,NA,NA,NA,3,2,1,0,1,0,0,0,0,14,1,1,3,1,0,0,0,0,3,0
1,0,1,NA,NA,NA,NA,NA,3,2,1,0,1,0,0,0,0,14,1,1,3,1,0,0,0,0,3,0
