"","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"274",1,6,3,1,5,55,1,0
"275",1,6,2,0,4,82,0,1
"276",1,5,5,1,5,60,1,0
"277",1,6,3,0,5,61,0,1
"278",0,1,NA,1,4,26,0,0
"279",1,2,4,1,4,57,0,1
"280",0,2,3,1,5,38,0,1
"281",0,6,1,1,3,55,0,1
"282",0,5,2,1,5,39,0,0
"283",1,5,3,1,5,50,0,1
"284",0,1,1,1,5,50,0,1
"285",0,2,3,0,1,54,1,0
"286",0,3,4,0,4,68,0,0
"287",0,2,1,1,5,38,0,1
"288",1,2,1,0,5,28,0,1
"289",1,2,4,0,3,35,0,1
"290",1,4,2,0,3,67,0,1
"291",1,3,3,0,1,55,0,1
"292",1,4,2,0,4,61,0,0
"293",1,2,1,1,4,51,0,1
"294",1,4,5,0,2,43,1,0
"295",1,3,NA,0,5,58,0,0
"296",1,4,5,1,5,29,1,0
"297",1,4,1,1,3,58,0,0
"298",0,3,5,0,1,58,1,0
"299",1,6,3,1,5,32,0,1
"300",0,3,3,1,4,50,0,0
"301",0,3,4,1,4,74,1,0
"302",1,2,1,1,5,59,0,1
"303",1,2,NA,0,1,42,0,0
"304",0,4,3,0,5,58,0,1
"305",1,3,3,1,5,53,0,0
"306",0,5,3,1,5,36,0,1
"307",1,4,5,1,1,47,1,0
"308",1,3,1,0,5,39,0,1
"309",0,4,3,1,3,35,0,0
"310",0,5,1,1,5,45,0,0
"311",1,2,3,1,1,58,0,1
"312",1,3,3,0,4,61,0,0
"313",1,5,3,1,4,69,0,0
"314",1,6,3,1,5,31,0,1
"315",1,4,2,0,5,66,0,1
"316",0,6,3,0,5,59,0,1
"317",0,3,3,1,5,55,0,0
"318",1,2,3,0,5,46,1,0
"319",0,6,4,1,3,46,1,0
"320",1,5,3,1,3,32,0,0
"321",1,6,3,0,4,63,0,0
"322",1,3,2,1,5,33,0,1
"323",0,2,3,1,5,57,0,0
"324",1,3,4,0,4,58,0,0
"325",1,4,3,1,4,68,0,1
"326",1,4,3,1,1,28,0,1
"327",1,2,1,0,1,43,0,0
"328",1,2,3,0,4,23,0,0
"329",0,2,2,1,4,75,0,0
"330",1,5,3,1,1,35,0,0
"331",1,3,1,1,5,21,0,1
"332",1,5,1,1,5,47,0,1
"333",1,3,NA,1,4,45,0,0
"334",1,3,4,0,3,62,1,0
"335",1,6,3,0,4,48,0,0
"336",0,2,2,1,1,62,0,1
"337",0,6,4,0,5,43,1,0
"338",1,6,4,0,5,54,1,0
"339",0,3,2,1,5,53,0,1
"340",1,3,3,0,5,72,0,0
"341",0,2,2,0,3,65,0,0
"342",1,2,5,1,4,83,1,0
"343",1,1,NA,1,5,34,0,0
"344",1,3,3,1,4,63,0,1
"345",1,5,1,0,5,29,0,1
"346",1,4,3,1,4,58,0,0
"347",0,6,1,0,5,37,0,1
"348",1,2,3,0,4,29,0,1
"349",1,6,3,0,5,30,0,0
"350",0,3,5,1,3,65,1,0
"351",1,5,3,0,3,22,1,0
"352",0,1,5,0,5,18,1,0
"353",1,5,3,1,5,52,0,1
"354",1,2,1,1,5,72,0,1
"355",1,5,4,1,5,26,1,0
"356",1,3,1,1,3,49,0,1
"357",0,3,2,1,5,57,0,0
"358",1,4,NA,0,1,26,0,0
"359",0,3,4,0,4,57,0,0
"360",1,4,2,0,3,36,0,1
"361",1,4,4,0,3,56,1,0
"362",1,2,4,1,4,87,1,0
"363",0,2,4,0,3,47,0,1
"364",1,6,1,1,5,79,0,1
"365",1,6,5,1,4,70,0,0
"366",1,2,3,0,3,24,0,1
"367",0,2,3,1,5,39,0,0
"368",0,3,5,0,3,21,0,0
"369",1,2,2,1,5,68,0,0
"370",1,5,2,1,5,54,0,1
"371",1,2,2,0,4,45,0,1
"372",1,1,4,1,5,57,1,0
"373",1,2,5,1,4,69,1,0
"374",1,2,NA,0,3,56,0,0
"375",0,6,5,1,4,57,0,0
"376",1,1,5,1,3,31,1,0
"377",0,2,4,1,5,67,0,0
"378",0,4,1,0,2,58,0,1
"379",1,2,4,1,4,48,1,0
"380",0,3,2,1,5,62,0,1
"381",1,5,2,0,5,33,0,1
"382",0,2,4,0,3,55,0,0
"383",0,2,4,1,5,59,1,0
"384",1,2,2,0,4,63,0,1
"385",0,2,3,0,4,80,0,0
"386",0,2,2,0,4,56,0,0
"387",0,2,1,0,5,26,0,1
"388",1,5,1,1,4,48,0,1
"389",1,2,NA,1,4,28,0,1
"390",1,3,3,0,5,24,0,0
"391",0,5,4,0,3,48,1,0
"392",0,2,5,1,4,67,0,0
"393",1,5,2,0,4,43,0,1
"394",1,2,NA,0,4,34,0,0
"395",0,2,5,1,5,34,0,0
"396",1,4,1,1,5,66,0,1
"397",1,5,3,1,3,57,0,0
"398",0,2,2,1,5,61,0,1
"399",0,2,1,1,5,49,0,1
"400",0,2,3,1,5,52,0,0
"401",1,2,NA,0,5,71,0,1
"402",0,2,4,0,4,52,0,1
"403",0,3,NA,1,5,29,0,0
"404",1,1,NA,0,4,35,0,0
"405",0,2,3,0,4,69,0,1
"406",0,4,4,0,5,26,0,0
"407",1,2,2,1,5,39,0,1
"408",0,3,3,0,5,45,0,0
"409",0,2,5,1,4,49,1,0
"410",0,3,4,0,3,38,0,0
"411",1,5,5,1,5,42,1,0
"412",1,5,NA,1,3,30,1,0
"413",1,5,3,1,5,31,0,1
"414",1,5,3,1,5,37,0,1
"415",1,6,1,0,5,39,0,1
"416",1,2,NA,0,5,26,0,0
"417",1,4,3,0,5,49,0,1
"418",1,4,3,1,4,62,0,1
"419",0,2,2,0,5,33,0,0
"420",1,3,3,0,1,64,0,0
"421",1,3,4,0,3,43,1,0
"422",0,2,2,0,5,65,1,0
"423",1,2,3,0,1,35,0,0
"424",0,3,5,1,5,69,1,0
"425",0,2,2,0,5,30,0,0
"426",1,3,1,1,5,45,0,1
"427",0,3,1,1,4,22,0,0
"428",0,3,3,0,3,36,0,1
"429",0,6,4,0,5,56,1,0
"430",0,3,3,1,4,37,0,1
"431",1,2,NA,1,1,40,0,0
"432",0,4,3,1,5,56,1,0
"433",1,5,NA,0,1,38,0,0
"434",0,2,4,1,4,55,1,0
"435",1,2,NA,0,4,27,0,0
"436",0,3,NA,0,5,38,0,0
"437",0,2,5,1,4,59,1,0
"438",0,2,5,0,5,59,0,0
"439",1,5,NA,0,5,47,0,0
"440",1,3,4,0,4,29,1,0
"441",1,3,3,0,5,53,0,0
"442",0,3,1,1,4,64,0,1
"443",1,1,3,0,1,40,0,1
"444",0,4,4,0,3,36,0,1
"445",0,5,1,1,3,25,0,1
"446",1,5,3,0,5,31,0,0
"447",1,2,5,1,4,45,0,1
"448",0,2,NA,0,3,38,0,0
"449",1,2,4,1,5,71,0,0
"450",1,5,5,1,4,63,1,0
"451",1,3,1,1,5,27,0,0
"452",1,3,NA,0,2,31,1,0
"453",1,2,3,0,3,21,0,0
"454",0,4,3,1,5,30,0,0
"455",1,5,3,0,5,36,0,1
"456",0,2,3,1,5,23,0,1
"457",0,3,4,0,5,82,0,0
"458",1,3,2,0,5,20,0,1
"459",1,3,1,1,4,26,0,0
"460",1,1,NA,0,3,44,0,0
"461",1,5,2,1,5,34,0,0
"462",0,2,3,0,5,58,0,1
"463",0,3,2,0,5,35,0,0
"464",0,2,NA,1,1,28,0,1
"465",1,4,3,1,4,61,0,0
"466",1,1,4,0,1,58,1,0
"467",0,2,3,0,5,68,0,1
"468",1,4,4,1,4,50,1,0
"469",0,3,1,0,5,34,0,0
"470",1,3,NA,1,4,26,0,0
"471",0,3,1,1,5,55,0,1
"472",1,2,5,1,4,70,1,0
"473",1,2,1,0,5,46,0,1
"474",0,4,4,1,4,75,1,0
"475",0,3,2,0,4,25,0,0
"476",0,5,2,1,5,35,0,0
"477",0,2,1,0,5,40,0,0
"478",1,4,1,0,4,37,0,1
"479",0,1,NA,0,5,35,0,0
"480",1,6,2,0,3,52,0,0
"481",1,2,4,1,5,55,1,0
"482",1,4,2,1,5,37,0,0
"483",1,5,2,0,5,75,0,0
"484",1,3,3,1,4,62,0,1
"485",1,2,3,1,4,60,1,0
"486",0,3,1,0,5,32,0,1
"487",1,5,2,0,5,79,0,1
"488",1,3,5,1,4,50,1,0
"489",1,5,2,0,5,60,0,1
"490",0,5,3,0,4,35,0,0
"491",0,4,4,1,4,40,1,0
"492",0,5,4,0,3,36,1,0
"493",1,3,2,1,5,71,0,1
"494",1,4,5,1,5,29,1,0
"495",0,6,1,1,5,30,0,1
"496",1,5,2,1,5,58,0,1
"497",1,2,4,1,4,73,0,1
"498",1,5,3,0,2,23,0,0
"499",1,2,NA,1,4,27,0,0
"500",1,5,5,1,5,30,1,0
"501",1,5,1,1,5,59,0,1
"502",1,2,1,1,5,45,0,1
"503",1,2,1,0,5,60,0,1
"504",0,6,3,1,4,78,0,0
"505",0,2,4,1,5,57,1,0
"506",0,2,1,1,5,45,0,1
"507",1,6,1,1,4,35,0,1
"508",1,2,1,1,5,33,0,1
"509",1,2,4,0,5,47,1,0
"510",0,5,3,1,3,59,0,1
"511",1,2,4,1,1,46,0,1
"512",0,2,3,1,3,50,0,0
"513",1,5,NA,0,5,37,0,1
"514",0,2,3,0,4,35,0,1
"515",1,4,4,0,5,39,0,1
"516",0,2,5,1,4,71,1,0
"517",1,6,4,0,5,45,1,0
"518",1,3,NA,0,1,38,0,0
"519",1,4,NA,0,1,22,0,0
"520",0,4,NA,1,4,26,0,0
"521",1,3,5,1,5,37,1,0
"522",1,4,3,0,3,53,0,0
"523",0,3,3,1,4,20,0,0
"524",0,5,5,1,5,37,1,0
"525",1,2,NA,1,1,21,0,0
"526",1,5,2,0,5,25,0,1
"527",1,3,2,1,4,21,0,0
"528",1,6,1,1,5,31,0,1
"529",1,4,1,1,5,28,0,1
"530",1,3,5,1,4,38,1,0
"531",1,2,5,1,4,61,1,0
"532",0,4,3,0,3,42,0,0
"533",0,4,1,0,5,31,0,1
"534",0,2,3,0,5,44,0,1
"535",0,2,NA,1,4,26,0,0
"536",0,2,5,1,5,56,0,0
"537",1,3,1,0,5,52,0,1
"538",0,3,3,0,3,70,0,1
"539",0,2,4,0,5,48,1,0
"540",0,3,3,0,5,23,0,0
"541",1,2,3,1,1,56,0,0
"542",0,2,3,0,3,51,0,1
"543",0,4,2,1,5,52,0,1
"544",1,4,2,0,3,33,0,1
"545",0,2,4,1,5,33,1,0
"546",0,3,3,1,4,18,1,0
"547",1,3,3,1,3,19,0,0
"548",1,5,4,1,5,56,0,1
"549",1,6,2,1,4,31,0,0
"550",1,5,4,1,5,71,0,1
"551",1,3,3,1,5,38,0,0
"552",1,3,NA,0,5,42,0,0
"553",0,3,4,0,2,25,0,0
"554",1,5,NA,0,1,26,0,0
"555",1,2,3,1,5,68,0,1
"556",1,5,3,0,5,39,0,0
"557",0,2,4,1,2,22,0,1
"558",0,5,4,0,5,60,1,0
"559",0,3,3,0,3,42,0,1
"560",1,5,1,0,5,53,0,1
"561",0,6,2,1,2,23,0,0
"562",0,1,3,0,1,33,0,0
"563",0,4,2,1,5,32,0,1
"564",0,3,3,0,5,53,0,1
"565",0,3,4,1,1,27,1,0
"566",0,2,3,0,4,37,0,1
"567",1,6,3,1,4,31,0,0
"568",1,5,3,1,5,43,0,0
"569",1,3,3,0,5,20,0,0
"570",0,2,4,0,5,32,0,0
"571",0,2,3,0,5,56,0,1
"572",1,4,5,1,5,42,0,1
"573",1,3,4,0,1,44,0,1
"574",1,5,2,0,2,24,0,1
"575",1,4,5,1,5,34,1,0
"576",0,2,1,1,4,21,0,1
"577",1,3,3,0,5,50,1,0
"578",1,2,3,0,4,66,0,0
"579",0,5,3,1,5,28,0,1
"580",0,2,2,0,5,47,0,1
"581",1,5,2,1,3,27,0,0
"582",0,1,NA,0,5,25,0,0
"583",1,4,1,0,4,19,0,1
"584",0,2,4,0,3,58,0,1
"585",1,2,3,1,5,38,0,0
"586",0,5,5,1,5,36,1,0
"587",1,3,1,1,5,19,0,1
"588",0,2,2,0,2,57,0,1
"589",1,2,4,1,3,71,0,0
"590",1,3,NA,0,5,23,0,0
"591",1,3,3,0,5,61,0,1
"592",1,3,1,1,5,48,0,1
"593",1,5,2,1,2,33,0,1
"594",0,2,1,0,5,30,0,1
"595",0,1,4,1,2,29,0,1
"596",1,1,3,1,3,61,1,0
"597",1,3,1,0,2,38,0,1
"598",1,2,4,1,2,67,0,1
"599",1,2,NA,1,5,37,1,0
"600",1,2,2,0,5,69,0,1
"601",1,3,4,1,3,38,0,0
"602",1,5,2,1,4,40,0,1
"603",1,4,3,0,1,35,0,0
"604",1,3,2,1,5,19,0,1
"605",0,3,3,1,5,55,0,1
"606",1,4,NA,0,3,43,0,1
"607",1,5,2,1,1,28,0,0
"608",1,4,3,1,5,27,0,0
"609",0,4,3,0,5,63,1,0
"610",0,2,5,1,2,27,1,0
"611",0,1,5,0,4,38,1,0
"612",0,4,5,1,5,74,1,0
"613",1,4,NA,0,5,45,0,0
"614",0,6,1,1,4,63,0,1
"615",1,4,4,1,5,59,1,0
"616",0,6,3,1,4,41,1,0
"617",1,4,5,0,5,70,0,0
"618",1,5,2,1,5,36,0,1
"619",0,5,3,0,5,50,0,1
"620",0,6,5,0,5,42,0,1
"621",0,2,1,1,5,19,0,1
"622",0,2,2,0,4,28,0,1
"623",0,5,4,0,4,53,1,0
"624",1,5,5,1,5,44,1,0
"625",0,1,1,0,5,60,0,1
"626",0,6,3,0,5,39,0,0
"627",1,3,3,1,4,58,0,0
"628",1,5,4,1,4,28,0,0
"629",1,5,1,1,5,53,0,1
"630",0,4,4,0,5,61,1,0
"631",1,2,3,0,5,56,1,0
"632",0,2,5,1,5,28,1,0
"633",0,5,1,1,5,35,0,1
"634",1,6,3,0,5,38,0,1
"635",0,2,3,1,4,41,0,1
"636",0,2,4,1,4,70,1,0
"637",1,3,2,1,5,19,0,1
"638",0,2,4,1,5,33,1,0
"639",1,2,3,1,4,28,0,1
"640",0,2,3,1,5,72,0,1
"641",1,6,3,1,4,58,0,1
"642",1,5,1,0,5,34,0,0
"643",1,5,2,1,4,71,0,1
"644",1,4,3,1,5,38,0,1
"645",0,3,3,0,5,66,0,1
"646",0,1,1,1,5,18,0,1
"647",1,3,1,1,5,21,0,1
"648",0,4,3,0,5,62,0,0
"649",0,5,1,1,5,47,0,1
"650",0,1,NA,1,1,44,0,0
"651",0,2,NA,0,1,32,0,0
"652",1,3,2,0,3,26,0,0
"653",0,2,3,1,3,54,1,0
"654",1,2,4,1,4,76,1,0
"655",1,1,1,1,5,18,0,1
"656",1,6,1,0,5,28,0,0
"657",0,2,3,0,5,28,0,1
"658",0,3,1,0,5,58,0,1
"659",0,2,NA,1,3,36,0,0
"660",1,6,1,1,5,30,0,1
"661",0,3,1,0,5,45,0,1
"662",0,2,3,1,2,47,1,0
"663",1,6,2,1,5,49,0,1
"664",1,3,1,1,5,26,0,1
"665",0,3,3,1,4,61,1,0
"666",1,2,3,0,4,29,0,0
"667",0,2,3,1,3,42,0,0
"668",0,4,3,1,5,67,0,0
"669",1,1,NA,0,3,32,0,0
"670",1,6,2,1,5,36,0,1
"671",1,2,1,1,5,40,0,1
"672",1,6,2,1,5,27,1,0
"673",0,2,4,1,5,44,1,0
"674",0,3,2,1,5,59,0,1
"675",1,4,3,1,5,29,0,0
"676",0,2,4,1,4,72,1,0
"677",1,3,4,1,5,29,0,1
"678",0,2,NA,1,5,61,0,0
"679",1,5,3,0,4,26,0,0
"680",0,2,4,1,4,26,1,0
"681",1,5,2,0,5,26,0,1
"682",1,6,1,1,3,59,0,1
"683",1,2,4,1,5,29,1,0
"684",0,2,3,1,4,43,0,1
"685",0,3,3,0,5,45,1,0
"686",1,4,2,0,5,38,0,1
"687",1,3,4,0,5,33,0,0
"688",1,4,4,0,4,27,0,0
"689",1,2,NA,0,3,36,0,0
"690",0,4,3,0,4,42,0,0
"691",0,2,3,0,1,38,0,0
"692",0,2,5,0,5,68,1,0
"693",1,3,1,0,5,46,0,1
"694",1,2,4,1,5,47,1,0
"695",1,2,1,1,5,29,0,1
"696",0,2,4,0,1,59,0,1
"697",0,2,5,1,5,74,1,0
"698",0,2,1,1,5,48,1,0
"699",0,1,5,1,5,49,1,0
"700",0,2,5,0,5,38,0,0
"701",1,4,4,1,5,68,1,0
"702",1,1,5,0,3,36,0,0
"703",0,2,1,0,5,18,0,1
"704",0,6,2,1,5,67,0,0
"705",0,2,3,1,5,38,0,1
"706",1,1,3,0,5,50,0,1
"707",1,5,1,1,5,27,0,1
"708",0,3,5,0,5,40,0,0
"709",0,5,3,0,4,56,1,0
"710",0,2,2,1,3,33,0,1
"711",1,4,4,0,4,71,0,0
"712",1,2,3,1,5,58,0,1
"713",1,3,3,1,5,53,0,1
"714",1,2,3,1,5,41,0,0
"715",0,6,4,0,5,24,1,0
"716",1,5,1,1,5,54,0,1
"717",1,5,2,1,5,23,0,0
"718",0,1,NA,1,1,37,0,0
"719",0,4,5,1,1,31,1,0
"720",0,2,3,1,3,44,1,0
"721",0,2,4,0,3,58,0,0
"722",0,1,4,0,5,35,0,1
"723",1,5,NA,1,5,27,0,0
"724",0,3,4,1,4,80,1,0
"725",1,5,2,0,4,50,0,1
