top1la,mgdppc,tradedep,secsharel10,fempart,wcentld,totden2,leftgov,nondem,funisuf,period,stnum
11.61052611,2.900948954,46.82629359,0.126621488,0.243301827,0,25.93867353,0.4,0,1,7,205
15.30164475,3.033093166,61.18235137,0.077494372,0.262409426,0,23.38839523,0,0,1,8,205
13.70473828,3.045394182,58.14490707,0.096424665,0.308303669,0,33.70642158,0,0,1,9,205
13.60484253,3.246364498,54.67600454,0.11335656,0.207452518,1,45.06332233,0.6,0,1,10,205
11.37922694,3.729504299,58.3109436,0.127715638,0.296239921,1,43.99016881,0.6,0,1,11,205
9.995442496,4.000244045,54.15838013,0.148438486,0.323010019,1,51.88644892,0.4,0,1,12,205
9.812365967,4.800596428,59.59044189,0.17912319,0.328839398,1,49.42494404,0,0,1,13,205
9.859713832,5.698148441,61.23217545,0.224672717,0.314709839,1,55.71091203,0,0,1,14,205
10.72840334,6.848386955,73.31665955,0.279485583,0.273962813,1,48.54249199,0.6,0,1,15,205
6.427500057,8.051005268,93.96482697,0.392224187,0.365848358,1,49.14030454,0.4,0,1,16,205
6.630999947,8.927711487,96.35618591,0.478294897,0.354195624,0,48.63734554,1,0,1,17,205
6.273499966,10.37899208,98.40261688,0.511986089,0.374045136,0.800000012,44.52799988,0.4,0,1,18,205
7.682500076,12.87135448,107.8299945,0.516778266,0.309409922,1,42.36999969,0.4,0,1,19,205
9.218499565,18.58581562,119.1883785,0.518174529,0.395762688,1,36.54451474,0.4,0,1,20,205
21.58545758,3.93697176,44.26511412,0.023757872,0.261400151,0,16.36577804,0,0,0,3,210
24.13400002,3.85534687,57.16526148,0.027786685,0.25825366,0,28.7,0,0,0,4,210
17.33000031,4.718426132,48.4247239,0.032472727,0.275676549,0,27.76000023,0,0,0.8,5,210
18.04599991,5.574577427,48.06947766,0.036788176,0.21409671,0,26.87999992,0,0,1,6,210
14.44800014,4.982207966,48.80408452,0.047666946,0.301161068,0,33.2,0,0,1,7,210
15.81299992,5.249469376,55.95917099,0.087701026,0.252274581,0,30.27999992,0,0.2,1,8,210
15.72799988,3.590781879,58.03883185,0.142253762,0.218085241,0,20.80082825,0.2,0.8,1,9,210
12.45499992,5.374296951,57.43292839,0.163549033,0.278230967,1,38.4,0.8,0,1,10,210
11.94199982,6.578203487,73.20573273,0.157544192,0.224294068,1,39.47999954,1,0,1,11,210
10.67600002,7.723486423,74.56073608,0.211062619,0.297518654,0.800000012,41.9,0.6,0,1,12,210
10.25399971,8.981613159,70.09958344,0.218386468,0.310461334,0,42.30000076,0,0,1,13,210
9.052000237,10.92015038,68.03929901,0.300233549,0.304673802,0,40.97999954,0,0,1,14,210
7.01400013,12.9737711,77.66620026,0.361377883,0.290467857,0,38.81999969,0.6,0,1,15,210
