caseid,weight_full,mode,voted2012,regist2016,primary2016,intend.vote,ideology,pid_strength,born_again,fundamentalist,race,female,income,hannity,minutes60,cooper,matthews,press,conan,big.bang,modern.family,rush,NPR,voted2016,vote.choice2016,Dem.Pres.candFT,GOP.Pres.candFT,Lib.Pres.candFT,Green.Pres.candFT,Dem.House.candFT,GOP.House.candFT,Ind.House.candFT,Dem.Sen.candFT,GOP.Sen.candFT,Ind.Sen.candFT,Sr.SenFT,Jr.SenFT,Nonrun.SenFT,Dem.VP.candFT,GOP.VP.candFT,RobertsFT,PopeFT,Christian.FundFT,FemFT,LiberalsFT,Labor.UnionsFT,PoorFT,Big.BusinessFT,ConservativesFT,SCtFT,GaysFT,CongressFT,RichFT,MuslimsFT,ChristiansFT,JewsFT,Tea.PartyFT,PoliceFT,TransFT,ScientistsFT,BLMFT,tax.mill,vaccinces.in.school,vaccines,Govt.Reduce.Eq,Req.Equal,how.equal,Foreign.Im,immig.support,Free.Trade.Ag,marijuana,AsiansFT,HispanicsFT,BlacksFT,IllegalsFT,WhitesFT,location,educ,GOP,Dem,employed,cath_attend,prot_attend,jew_attend,cath_nonatt,prot_nonatt,jew_nonatt,Obama12,Romney12,yes.vote2016,Trump16,Clinton16
407373,3.6407,2,1,1,0,1,5,7,0,0,1,1,3,1,0,0,0,0,0,1,0,NA,NA,4,2,2,80,50,50,25,80,NA,80,50,NA,NA,NA,40,40,80,51,100,100,75,10,100,100,25,100,75,100,20,80,100,100,100,60,100,100,100,0,1,1,1,1,1,1,NA,4,1,0,90,90,90,90,90,NY,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0
407377,1.3699,2,1,0,0,0,4,3,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,NA,NA,15,15,50,50,50,50,NA,NA,NA,NA,50,50,NA,50,50,50,100,70,85,86,50,85,0,50,30,100,0,0,60,41,85,50,50,100,85,100,-1,-1,2,1,1,1,1,3,0,1,100,100,100,40,40,NJ,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
407378,0.8722,2,1,1,0,1,5,5,0,0,1,1,5,0,0,0,0,0,0,0,0,NA,NA,4,2,24,65,50,50,65,50,NA,65,50,NA,NA,NA,60,40,70,50,85,50,50,35,45,50,50,76,65,50,25,51,100,100,100,50,100,50,100,35,0,0,NA,-1,1,1,NA,3,1,-1,50,50,50,35,50,IA,5,0,0,1,1,0,0,0,0,0,0,1,1,1,0
407380,0.3893,2,1,1,0,1,4,5,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,1,70,15,60,50,50,50,NA,NA,NA,NA,50,50,NA,50,70,50,50,60,60,50,50,60,50,50,70,40,50,40,50,85,50,50,70,30,85,0,1,1,1,1,1,2,-1,3,0,0,85,70,60,30,85,MN,3,0,0,1,0,0,0,0,0,0,1,0,1,0,1
407381,0,2,0,0,0,NA,NA,6,1,0,1,1,5,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AL,3,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0
407382,0.6307,2,1,1,0,1,2,1,0,0,1,0,5,1,0,1,0,0,0,0,0,NA,NA,4,1,79,9,49,56,48,NA,NA,68,NA,NA,NA,NA,35,69,1,40,95,31,60,81,84,68,40,16,41,85,26,70,60,59,84,9,32,60,97,47,1,0,NA,0,1,1,NA,3,0,1,70,60,50,24,74,IL,3,0,1,1,1,0,0,0,0,0,1,0,1,0,1
407385,0.8715,2,1,1,1,1,4,1,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,4,1,99,15,40,50,86,50,NA,NA,NA,NA,31,99,NA,84,13,52,98,15,71,90,16,99,42,31,39,85,39,68,84,83,84,30,39,82,100,70,1,1,1,0,1,1,-1,3,1,0,76,84,79,79,77,NJ,3,0,1,0,0,0,0,0,0,0,1,0,1,0,1
407387,0.4915,2,1,1,1,1,2,3,0,0,1,0,2,0,1,1,0,0,0,0,0,NA,NA,4,1,100,0,0,50,NA,0,NA,NA,NA,NA,0,0,NA,100,0,60,100,0,80,85,85,80,15,0,85,100,15,40,85,50,100,0,90,100,100,40,1,1,1,0,1,1,NA,4,0,1,90,90,80,50,80,TX,4,0,0,1,0,0,0,0,0,0,0,1,1,0,1
407388,0.6537,2,0,1,0,1,2,3,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,4,1,65,0,61,50,51,NA,NA,NA,NA,NA,85,51,NA,92,0,85,65,40,86,85,41,51,16,32,86,85,40,41,50,51,51,31,31,51,99,66,1,1,1,1,1,1,NA,3,1,1,50,50,51,52,50,MA,5,0,0,1,0,0,0,0,0,0,NA,NA,1,0,1
407392,0,2,0,1,0,1,NA,6,1,0,1,0,2,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ,3,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0
407393,0,2,1,1,0,1,4,1,1,0,1,0,4,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0
407395,0,2,1,1,0,1,5,2,0,0,1,1,5,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MD,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0
407396,0.8587,2,1,1,1,1,NA,6,1,0,1,1,5,0,0,0,0,0,0,0,1,NA,NA,4,2,0,85,50,50,70,NA,NA,NA,NA,NA,85,30,NA,50,50,85,100,85,100,85,85,100,85,70,85,100,70,85,85,100,100,70,100,100,100,85,1,1,1,0,1,1,1,4,0,0,100,100,100,0,100,TX,3,1,0,0,0,1,0,0,0,0,0,1,1,1,0
407399,3.2872,2,1,0,0,NA,4,4,0,0,1,1,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,31,18,50,50,27,53,NA,50,NA,50,NA,NA,50,50,31,50,89,50,59,84,45,61,50,72,53,96,52,50,76,61,89,77,95,78,96,50,0,1,1,0,1,2,NA,3,0,1,99,98,98,93,98,CA,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0
407402,1.0652,2,0,0,0,1,5,3,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,4,2,40,84,51,49,NA,50,NA,50,85,NA,NA,NA,47,50,50,85,96,65,60,70,30,69,25,70,69,65,52,50,50,85,49,22,70,50,68,48,1,1,1,1,1,1,1,2,0,1,80,85,85,27,85,PA,3,0,0,1,0,0,0,0,0,0,NA,NA,1,1,0
407405,0.6333,2,0,0,0,NA,6,1,0,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8,63,50,50,46,52,NA,51,49,NA,NA,NA,50,50,51,51,54,51,51,85,50,40,52,52,50,15,50,52,51,60,85,84,93,15,77,63,1,1,1,-1,1,1,1,1,-1,1,51,60,58,13,70,KS,3,0,1,1,0,0,0,0,0,0,NA,NA,0,0,0
407407,0.4035,2,1,1,1,1,4,7,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,4,2,2,93,52,51,20,62,NA,17,81,NA,NA,NA,24,13,51,53,85,5,27,17,4,53,8,8,52,5,38,13,17,12,52,52,85,0,90,2,1,1,1,-1,0,NA,1,1,-1,1,60,30,16,0,85,WI,3,1,0,1,1,0,0,0,0,0,0,1,1,1,0
407409,2.4498,2,1,1,1,1,6,7,1,0,1,0,4,0,0,0,0,0,0,1,0,NA,NA,4,2,16,85,41,NA,70,NA,30,61,NA,15,NA,NA,2,31,83,69,51,67,14,16,69,50,59,82,69,39,67,49,39,98,92,60,96,29,39,30,1,1,1,0,1,2,1,2,-1,1,59,59,59,30,60,CA,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0
407412,1.2903,2,0,1,0,1,5,5,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,4,2,15,100,70,50,40,60,NA,40,60,NA,NA,NA,50,60,85,70,50,50,50,50,60,50,50,50,70,50,50,50,50,85,50,NA,100,50,80,50,1,1,1,0,1,2,1,3,-1,1,50,40,50,40,60,MO,3,0,0,1,0,1,0,0,0,0,NA,NA,1,1,0
407414,1.4114,2,0,1,0,1,3,7,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,4,2,30,85,30,NA,70,70,NA,NA,NA,NA,NA,NA,NA,30,100,NA,50,40,60,60,70,60,85,60,70,85,40,40,60,70,70,60,100,70,100,15,1,1,1,0,1,1,NA,1,-1,0,60,60,60,15,60,VA,2,1,0,0,0,0,0,1,0,0,NA,NA,1,1,0
407423,1.5588,2,0,0,0,1,1,3,0,0,1,1,4,0,0,0,1,0,1,0,0,0,0,4,2,6,85,53,53,52,49,NA,NA,NA,NA,51,53,NA,52,73,51,51,32,51,52,50,60,50,52,52,97,44,19,32,32,51,51,73,96,52,3,1,1,2,1,1,1,-1,1,1,0,50,41,42,19,62,TN,2,0,0,1,0,0,0,0,0,0,NA,NA,1,1,0
407426,1.0034,2,1,1,1,1,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0,NA,NA,4,1,70,0,50,50,NA,40,NA,85,0,NA,NA,NA,0,85,0,15,60,1,60,100,99,85,12,1,73,96,1,50,40,40,85,0,85,100,100,100,1,1,1,1,1,1,NA,3,1,1,85,85,85,85,85,KY,2,0,1,1,0,0,0,0,0,0,1,0,1,0,1
